Name,CorpName,DestroyedShips,Efficiency,DateLeft,EveWhoLink,ZKillboardLink,Id,CorpId
"Siga Seshi Sharisa","Xelrak Institute","162","70.1%","2025/11/04 13:26","https://evewho.com/character/2122029054","https://zkillboard.com/character/2122029054","2122029054","98808628"
"Aw Caderu","Xelrak Institute","0","0.0%","2025/10/24 12:00","https://evewho.com/character/2123808657","https://zkillboard.com/character/2123808657","2123808657","98808628"
"Phraxer","Xelrak Institute","4","33.3%","2025/10/23 12:27","https://evewho.com/character/1420388307","https://zkillboard.com/character/1420388307","1420388307","98808628"
"Drake Lock Cyrus","Xelrak Institute","0","0.0%","2025/10/23 12:26","https://evewho.com/character/2119373643","https://zkillboard.com/character/2119373643","2119373643","98808628"
"Selena Lee 3","Xelrak Institute","","No Data","2025/10/23 04:20","https://evewho.com/character/2123799586","https://zkillboard.com/character/2123799586","2123799586","98808628"
"Lois Norris 3","Xelrak Institute","0","0.0%","2025/10/23 04:20","https://evewho.com/character/2123805766","https://zkillboard.com/character/2123805766","2123805766","98808628"
"Pepper Tyson 3","Xelrak Institute","0","0.0%","2025/10/23 04:20","https://evewho.com/character/2123804365","https://zkillboard.com/character/2123804365","2123804365","98808628"
"Lois Norris 2","Xelrak Institute","","No Data","2025/10/23 04:19","https://evewho.com/character/2123801847","https://zkillboard.com/character/2123801847","2123801847","98808628"
"Pepper Tyson 2","Xelrak Institute","","No Data","2025/10/23 04:19","https://evewho.com/character/2123808836","https://zkillboard.com/character/2123808836","2123808836","98808628"
"Clark Norris 3","Xelrak Institute","0","0.0%","2025/10/23 04:19","https://evewho.com/character/2123800311","https://zkillboard.com/character/2123800311","2123800311","98808628"
"Selena Lee 2","Xelrak Institute","","No Data","2025/10/23 04:19","https://evewho.com/character/2123799584","https://zkillboard.com/character/2123799584","2123799584","98808628"
"Tony Tyson 3","Xelrak Institute","0","0.0%","2025/10/23 04:19","https://evewho.com/character/2123803858","https://zkillboard.com/character/2123803858","2123803858","98808628"
