Name,CorpName,DestroyedShips,Efficiency,DateLeft,EveWhoLink,ZKillboardLink,Id,CorpId
"Elan Thain","Xelrak Institute","","No Data","","https://evewho.com/character/2123884973","https://zkillboard.com/character/2123884973","2123884973","98808628"
"Nakan","Xelrak Institute","1","3.4%","","https://evewho.com/character/991515040","https://zkillboard.com/character/991515040","991515040","98808628"
"Kenta Enaka","Xelrak Institute","2","33.3%","","https://evewho.com/character/2117679883","https://zkillboard.com/character/2117679883","2117679883","98808628"
"Aktor Vondi","Xelrak Institute","9","100.0%","","https://evewho.com/character/2122885632","https://zkillboard.com/character/2122885632","2122885632","98808628"
"Kaiden Ellecron","Xelrak Institute","4","25.0%","","https://evewho.com/character/94228313","https://zkillboard.com/character/94228313","94228313","98808628"
"ruby jomitos","Xelrak Institute","1","8.3%","","https://evewho.com/character/2114245688","https://zkillboard.com/character/2114245688","2114245688","98808628"
"Graycen T Kirkney","Xelrak Institute","0","100.0%","","https://evewho.com/character/2118973551","https://zkillboard.com/character/2118973551","2118973551","98808628"
"Aurim","Xelrak Institute","216","81.2%","","https://evewho.com/character/442435653","https://zkillboard.com/character/442435653","442435653","98808628"
"Lalo Arzi","Xelrak Institute","","No Data","","https://evewho.com/character/2121007869","https://zkillboard.com/character/2121007869","2121007869","98808628"
"Maddox Molotov","Xelrak Institute","5","45.5%","","https://evewho.com/character/2115764323","https://zkillboard.com/character/2115764323","2115764323","98808628"
"Sochina Sazas","Xelrak Institute","","No Data","","https://evewho.com/character/2121007855","https://zkillboard.com/character/2121007855","2121007855","98808628"
"Athena Jei","Xelrak Institute","0","0.0%","","https://evewho.com/character/2123842969","https://zkillboard.com/character/2123842969","2123842969","98808628"
"Voula","Xelrak Institute","","No Data","","https://evewho.com/character/2123842977","https://zkillboard.com/character/2123842977","2123842977","98808628"
"Mollymoo","Xelrak Institute","","No Data","","https://evewho.com/character/2117663024","https://zkillboard.com/character/2117663024","2117663024","98808628"
"Sinikamo","Xelrak Institute","","No Data","","https://evewho.com/character/2117663392","https://zkillboard.com/character/2117663392","2117663392","98808628"
"Proto Zeller","Xelrak Institute","0","0.0%","","https://evewho.com/character/2114997063","https://zkillboard.com/character/2114997063","2114997063","98808628"
"Turil Pyrope","Xelrak Institute","605","57.8%","","https://evewho.com/character/95204778","https://zkillboard.com/character/95204778","95204778","98808628"
"Aluria Ambraelle","Xelrak Institute","0","0.0%","","https://evewho.com/character/93098210","https://zkillboard.com/character/93098210","93098210","98808628"
"Simo Pares","Xelrak Institute","88","68.8%","","https://evewho.com/character/2114538324","https://zkillboard.com/character/2114538324","2114538324","98808628"
"drew Badasaz","Xelrak Institute","3","25.0%","","https://evewho.com/character/92612855","https://zkillboard.com/character/92612855","92612855","98808628"
"Siva Knight","Xelrak Institute","0","0.0%","","https://evewho.com/character/2116219154","https://zkillboard.com/character/2116219154","2116219154","98808628"
"Hagignvulfer Inar Silf","Xelrak Institute","","No Data","","https://evewho.com/character/2122006715","https://zkillboard.com/character/2122006715","2122006715","98808628"
"Fjord au Andromedus","Xelrak Institute","0","0.0%","","https://evewho.com/character/2123760534","https://zkillboard.com/character/2123760534","2123760534","98808628"
"Petricite Chains","Xelrak Institute","0","0.0%","","https://evewho.com/character/2123762957","https://zkillboard.com/character/2123762957","2123762957","98808628"
"Shurima Shuffle","Xelrak Institute","5","6.1%","","https://evewho.com/character/2122821879","https://zkillboard.com/character/2122821879","2122821879","98808628"
"Maleph Ultra","Xelrak Institute","0","0.0%","","https://evewho.com/character/93177102","https://zkillboard.com/character/93177102","93177102","98808628"
"Ark Balaeron","Xelrak Institute","179","79.2%","","https://evewho.com/character/93200600","https://zkillboard.com/character/93200600","93200600","98808628"
"Gokur Bedala","Xelrak Institute","0","0.0%","","https://evewho.com/character/2123211097","https://zkillboard.com/character/2123211097","2123211097","98808628"
"Nathan Grey","Xelrak Institute","53","82.8%","","https://evewho.com/character/1436064273","https://zkillboard.com/character/1436064273","1436064273","98808628"
"KetMan20","Xelrak Institute","0","0.0%","","https://evewho.com/character/2122808995","https://zkillboard.com/character/2122808995","2122808995","98808628"
"Tinki Nami Naari","Xelrak Institute","0","0.0%","","https://evewho.com/character/2123383460","https://zkillboard.com/character/2123383460","2123383460","98808628"
"Maui Meyer","Xelrak Institute","11","44.0%","","https://evewho.com/character/92422379","https://zkillboard.com/character/92422379","92422379","98808628"
"Zola Fleck","Xelrak Institute","0","0.0%","","https://evewho.com/character/94591387","https://zkillboard.com/character/94591387","94591387","98808628"
"GoGol8O8","Xelrak Institute","19","28.8%","","https://evewho.com/character/2123152707","https://zkillboard.com/character/2123152707","2123152707","98808628"
"Witters","Xelrak Institute","","No Data","","https://evewho.com/character/2123642019","https://zkillboard.com/character/2123642019","2123642019","98808628"
"Yellow Lady","Xelrak Institute","0","0.0%","","https://evewho.com/character/93899796","https://zkillboard.com/character/93899796","93899796","98808628"
"Enzo Vitale","Xelrak Institute","","No Data","","https://evewho.com/character/2123820204","https://zkillboard.com/character/2123820204","2123820204","98808628"
"Gin Vitale","Xelrak Institute","","No Data","","https://evewho.com/character/2123819545","https://zkillboard.com/character/2123819545","2123819545","98808628"
"Coup333","Xelrak Institute","0","0.0%","","https://evewho.com/character/2123808399","https://zkillboard.com/character/2123808399","2123808399","98808628"
"CoupeNowYouSeeMe","Xelrak Institute","","No Data","","https://evewho.com/character/2123817386","https://zkillboard.com/character/2123817386","2123817386","98808628"
"andrew Tzash","Xelrak Institute","52","68.4%","","https://evewho.com/character/92546881","https://zkillboard.com/character/92546881","92546881","98808628"
"MrHugYoGirl","Xelrak Institute","0","0.0%","","https://evewho.com/character/2121475634","https://zkillboard.com/character/2121475634","2121475634","98808628"
"Optimal Hugz","Xelrak Institute","276","74.6%","","https://evewho.com/character/97083793","https://zkillboard.com/character/97083793","97083793","98808628"
"Zoe Heleneto","Xelrak Institute","24","32.0%","","https://evewho.com/character/92053767","https://zkillboard.com/character/92053767","92053767","98808628"
"Julia Mys","Xelrak Institute","0","0.0%","","https://evewho.com/character/2123540227","https://zkillboard.com/character/2123540227","2123540227","98808628"
"Juler Rotineque","Xelrak Institute","0","0.0%","","https://evewho.com/character/2123454160","https://zkillboard.com/character/2123454160","2123454160","98808628"
"diamond milo jomitos","Xelrak Institute","0","0.0%","","https://evewho.com/character/2114211111","https://zkillboard.com/character/2114211111","2114211111","98808628"
"alex soban","Xelrak Institute","338","52.2%","","https://evewho.com/character/2115056769","https://zkillboard.com/character/2115056769","2115056769","98808628"
"Pyrrhus Scipio","Xelrak Institute","0","0.0%","","https://evewho.com/character/95260052","https://zkillboard.com/character/95260052","95260052","98808628"
"Horatio Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123808937","https://zkillboard.com/character/2123808937","2123808937","98808628"
"Howie Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123808938","https://zkillboard.com/character/2123808938","2123808938","98808628"
"Huey Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123808939","https://zkillboard.com/character/2123808939","2123808939","98808628"
"Harrold Oramara","Xelrak Institute","319","90.4%","","https://evewho.com/character/2112261889","https://zkillboard.com/character/2112261889","2112261889","98808628"
"Zeebeeluv","Xelrak Institute","3","100.0%","","https://evewho.com/character/2123788907","https://zkillboard.com/character/2123788907","2123788907","98808628"
"Amatirazu","Xelrak Institute","","No Data","","https://evewho.com/character/2123788915","https://zkillboard.com/character/2123788915","2123788915","98808628"
"Humphrey Oramara","Xelrak Institute","39","90.7%","","https://evewho.com/character/2113475791","https://zkillboard.com/character/2113475791","2113475791","98808628"
"Howard Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123808382","https://zkillboard.com/character/2123808382","2123808382","98808628"
"Hayes Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123808377","https://zkillboard.com/character/2123808377","2123808377","98808628"
"Hamish Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123808379","https://zkillboard.com/character/2123808379","2123808379","98808628"
"Heath Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123808376","https://zkillboard.com/character/2123808376","2123808376","98808628"
"Hudsen Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123734037","https://zkillboard.com/character/2123734037","2123734037","98808628"
"Hendrix Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123733889","https://zkillboard.com/character/2123733889","2123733889","98808628"
"Hadron Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2113041757","https://zkillboard.com/character/2113041757","2113041757","98808628"
"Hazel Oramara","Xelrak Institute","","No Data","","https://evewho.com/character/2123734031","https://zkillboard.com/character/2123734031","2123734031","98808628"
"Co2Coupe","Xelrak Institute","","No Data","","https://evewho.com/character/2123802533","https://zkillboard.com/character/2123802533","2123802533","98808628"
"Johnny Kilroy","Xelrak Institute","","No Data","","https://evewho.com/character/2123431804","https://zkillboard.com/character/2123431804","2123431804","98808628"
"Seffia Bjondar","Xelrak Institute","0","0.0%","","https://evewho.com/character/2122156180","https://zkillboard.com/character/2122156180","2122156180","98808628"
"Coupe Degtyaryov","Xelrak Institute","8","34.8%","","https://evewho.com/character/2121725665","https://zkillboard.com/character/2121725665","2121725665","98808628"
"Alvantin","Xelrak Institute","","No Data","","https://evewho.com/character/1890000165","https://zkillboard.com/character/1890000165","1890000165","98808628"
"Harry Barca","Xelrak Institute","0","0.0%","","https://evewho.com/character/95260116","https://zkillboard.com/character/95260116","95260116","98808628"
"Raida Nyhsan","Xelrak Institute","","No Data","","https://evewho.com/character/2123697923","https://zkillboard.com/character/2123697923","2123697923","98808628"
"Raida Sven","Xelrak Institute","","No Data","","https://evewho.com/character/2123714045","https://zkillboard.com/character/2123714045","2123714045","98808628"
"Vestyc","Xelrak Institute","1","5.9%","","https://evewho.com/character/2117114659","https://zkillboard.com/character/2117114659","2117114659","98808628"
"Nara Naren","Xelrak Institute","0","0.0%","","https://evewho.com/character/2113509975","https://zkillboard.com/character/2113509975","2113509975","98808628"
"Norena Naren","Xelrak Institute","0","0.0%","","https://evewho.com/character/2121816767","https://zkillboard.com/character/2121816767","2121816767","98808628"
"Winter Wolve","Xelrak Institute","0","0.0%","","https://evewho.com/character/95227758","https://zkillboard.com/character/95227758","95227758","98808628"
"Xandra Carioca","Xelrak Institute","0","0.0%","","https://evewho.com/character/2115799006","https://zkillboard.com/character/2115799006","2115799006","98808628"
"We Have Issues","Xelrak Institute","0","0.0%","","https://evewho.com/character/2123686072","https://zkillboard.com/character/2123686072","2123686072","98808628"
"Jah Zay","Xelrak Institute","0","0.0%","","https://evewho.com/character/1020769927","https://zkillboard.com/character/1020769927","1020769927","98808628"
"Archon Valeth","Xelrak Institute","0","100.0%","","https://evewho.com/character/2123602220","https://zkillboard.com/character/2123602220","2123602220","98808628"
"Xie Jun","Xelrak Enclave","2,247","92.5%","","https://evewho.com/character/2120074170","https://zkillboard.com/character/2120074170","2120074170","98806658"
"Tyrone Lamar","Xelrak Enclave","770","81.0%","","https://evewho.com/character/93336799","https://zkillboard.com/character/93336799","93336799","98806658"
"Marissa Sabri","Xelrak Enclave","1","100.0%","","https://evewho.com/character/2122646108","https://zkillboard.com/character/2122646108","2122646108","98806658"
"Kaya Sabri","Xelrak Enclave","1","100.0%","","https://evewho.com/character/2122646107","https://zkillboard.com/character/2122646107","2122646107","98806658"
"Holy Antagge","Xelrak Enclave","1,104","87.8%","","https://evewho.com/character/93471034","https://zkillboard.com/character/93471034","93471034","98806658"
"Rinandri","Xelrak Enclave","208","65.6%","","https://evewho.com/character/838093163","https://zkillboard.com/character/838093163","838093163","98806658"
"Simon Destar","Xelrak Enclave","37","29.8%","","https://evewho.com/character/92198732","https://zkillboard.com/character/92198732","92198732","98806658"
"Andwong Caderu","Xelrak Enclave","3","27.3%","","https://evewho.com/character/94157567","https://zkillboard.com/character/94157567","94157567","98806658"
"Lexie Naren","Xelrak Enclave","107","78.1%","","https://evewho.com/character/2121899266","https://zkillboard.com/character/2121899266","2121899266","98806658"
"Nadali Naren","Xelrak Enclave","0","0.0%","","https://evewho.com/character/2121801523","https://zkillboard.com/character/2121801523","2121801523","98806658"
"Nairah Naren","Xelrak Enclave","0","0.0%","","https://evewho.com/character/2122381624","https://zkillboard.com/character/2122381624","2122381624","98806658"
"Naire Naren","Xelrak Enclave","4","12.5%","","https://evewho.com/character/2122224487","https://zkillboard.com/character/2122224487","2122224487","98806658"
"Naitahn Naren","Xelrak Enclave","","No Data","","https://evewho.com/character/2123436782","https://zkillboard.com/character/2123436782","2123436782","98806658"
"Nariod Naren","Xelrak Enclave","288","79.6%","","https://evewho.com/character/2113289499","https://zkillboard.com/character/2113289499","2113289499","98806658"
"Noraan","Xelrak Enclave","2,160","89.0%","","https://evewho.com/character/1650141597","https://zkillboard.com/character/1650141597","1650141597","98806658"
"Ethann Zoromir","Xelrak Enclave","0","0.0%","","https://evewho.com/character/96644897","https://zkillboard.com/character/96644897","96644897","98806658"
"Cut Shnake","Xelrak Enclave","180","88.2%","","https://evewho.com/character/2116290026","https://zkillboard.com/character/2116290026","2116290026","98806658"
"Wayant","Xelrak Enclave","3","100.0%","","https://evewho.com/character/2122972302","https://zkillboard.com/character/2122972302","2122972302","98806658"
"Monkeyjunket","Xelrak Enclave","160","77.7%","","https://evewho.com/character/2117607934","https://zkillboard.com/character/2117607934","2117607934","98806658"
"Ag Gro","Xelrak Enclave","247","81.3%","","https://evewho.com/character/2116566650","https://zkillboard.com/character/2116566650","2116566650","98806658"
